Email_ID,Email_Type,Subject_Hotness_Score,Email_Source_Type,Customer_Location,Email_Campaign_Type,Total_Past_Communications,Time_Email_sent_Category,Word_Count,Total_Links,Total_Images,Email_Status
EMA00081000034500,1,2.2,2,E,2,33,1,440,8,0,0
EMA00081000045360,2,2.1,1,,2,15,2,504,5,0,0
EMA00081000066290,2,0.1,1,B,3,36,2,962,5,0,1
EMA00081000076560,1,3,2,E,2,25,2,610,16,0,0
EMA00081000109720,1,0,2,C,3,18,2,947,4,0,0
EMA00081000131660,1,1.5,1,G,2,,2,416,11,0,0
EMA00081000160500,1,3.2,1,E,2,34,3,116,4,0,0
EMA00081000269630,1,0.7,2,G,2,21,2,1241,6,2,0
EMA00081000287790,1,2,1,G,2,,3,655,11,4,0
EMA00081000367310,2,0.5,1,G,2,40,3,655,11,0,0
EMA00081000428660,2,0.2,1,G,3,27,3,744,6,0,0
EMA00081000583620,1,1,1,D,2,24,2,931,21,16,0
EMA00081000591290,2,0.1,1,C,3,42,2,550,6,0,0
EMA00081000667000,2,4,1,E,2,11,2,565,,0,0
EMA00081000781390,1,3,1,G,2,15,3,700,,13,0
EMA00081000916030,2,1.9,1,,2,23,2,694,4,0,0
EMA00081001086910,1,2.1,2,B,2,34,3,610,21,4,0
EMA00081001137220,1,1.1,1,G,2,,1,1061,21,15,0
EMA00081001215220,2,0.7,1,E,2,33,2,623,16,0,0
EMA00081001358710,1,1.6,2,F,2,37,1,560,6,0,0
EMA00081001535890,1,0.3,1,F,3,35,2,1082,16,4,0
EMA00081001689450,1,1.1,1,,2,24,1,684,6,0,0
EMA00081001736520,1,0.2,2,G,3,51,1,733,6,5,1
EMA00081001769720,1,2.3,2,G,2,9,2,1122,4,0,0
EMA00081001994960,1,2.3,2,E,2,18,2,649,31,28,0
EMA00081002046220,2,1.4,1,G,2,25,2,778,3,0,0
EMA00081002124310,1,0.1,2,G,3,39,3,855,21,4,0
EMA00081002245070,2,1.7,1,G,2,,2,704,11,0,0
EMA00081002264510,1,2.8,1,,2,,1,339,11,10,1
EMA00081002403600,1,1.2,1,G,2,,2,988,9,0,0
EMA00081002406910,1,0.8,2,D,2,31,2,389,6,3,1
EMA00081002494510,2,0,2,E,3,50,2,389,4,0,1
EMA00081002583980,1,1.4,1,B,2,30,1,636,16,8,0
EMA00081002630210,1,0.6,2,G,2,39,3,812,26,8,0
EMA00081002775340,1,0.7,2,G,2,14,2,880,10,3,0
EMA00081002862960,1,4.2,2,,2,15,1,254,4,0,1
EMA00081003023700,1,2.1,2,D,2,31,2,339,6,2,1
EMA00081003119020,1,0,2,C,3,45,2,490,9,,1
EMA00081003209570,2,1.8,1,G,2,35,1,771,6,0,0
EMA00081003405650,2,0,1,E,3,53,2,353,6,2,0
EMA00081003450600,1,1.7,2,G,2,28,3,484,7,0,0
EMA00081003475530,1,1.6,1,G,2,30,2,962,4,0,0
EMA00081003563790,1,2.4,2,C,2,7,3,778,6,0,0
EMA00081003632910,2,1.4,1,D,2,9,1,922,4,1,0
EMA00081003662300,2,0.9,1,E,2,38,1,700,,0,0
EMA00081003697090,2,0.8,1,E,2,39,2,275,5,0,0
EMA00081003697170,1,0.3,1,,2,52,2,392,16,13,0
EMA00081003913640,1,1.7,2,C,2,27,1,520,2,0,0
EMA00081004020940,2,0.9,1,,2,40,2,550,6,3,1
EMA00081004047050,2,0.2,2,G,3,22,2,1061,6,0,0
EMA00081004084890,1,1.3,2,D,2,,2,458,7,0,0
EMA00081004218740,1,1,2,G,2,43,2,630,6,0,0
EMA00081004253350,1,0.2,1,D,3,37,3,684,26,24,0
EMA00081004255070,2,0,2,B,3,34,2,1140,8,0,0
EMA00081004305210,1,1.6,2,,2,12,2,892,11,,0
EMA00081004359690,1,3.3,2,G,2,18,2,578,14,4,1
EMA00081004362450,1,2.8,2,G,2,16,2,311,4,0,0
EMA00081004536060,1,2.6,2,G,2,30,1,352,8,1,0
EMA00081004708480,1,0.2,1,D,2,31,2,902,21,12,0
EMA00081004739620,1,0.3,1,G,3,11,1,922,4,2,0
EMA00081004767610,1,1.1,2,G,2,33,3,795,21,11,0
EMA00081004810710,2,1.9,1,C,2,20,1,577,11,0,0
EMA00081004897530,1,1.6,1,F,2,35,2,653,26,24,0
EMA00081005004610,2,2.3,1,F,2,21,2,524,2,0,0
EMA00081005301170,1,3.1,2,,2,14,3,904,9,0,0
EMA00081005302140,2,1.3,1,C,2,36,2,524,6,0,0
EMA00081005351560,1,1.4,1,B,2,40,2,440,4,,0
EMA00081005353560,1,1,1,G,2,,1,560,21,4,0
EMA00081005754040,2,0.3,2,E,3,41,2,1014,11,4,1
EMA00081006001860,2,1.6,1,G,2,45,2,565,9,6,1
EMA00081006154590,1,0.2,1,,3,50,2,314,11,6,1
EMA00081006208910,1,1.8,1,G,2,20,2,1103,9,1,0
EMA00081006210770,2,1.9,1,G,2,22,2,721,3,0,0
